name,clade
HuB2013,2
Rs806/2006,2
BtRI-SC2018,2
HKU3-8,2
Longquan-140,2
HKU3-13,2
Rs4247,2
GX2013,2
Yunnan2011,2
MLHJC35,2
279-2005,2
Rp3,2
Shaanxi2011,2
Rs4081,2
Rs4237,2
ATO98108,2
YN2013,2
Rf4092,2
ZXC21,2
ZC45,2
JL2012,2
273-2005,2
Rf1,2
HeB2013,2
RhGB01,3
Khosta2,3
Khosta1,3
BtKY72,3
PRD-0038,3
PRD-2386,3
BB9904,3
BM48-31,3
RaTG15,4
RaTG13,1
SARS_CoV-2,1
MP789,1
Rs4084,1
Rs4231,1
RsSHC014,1
SARS_CoV,1
CS24,1
LYRa11,1
LYRa3,1
WIV16,1
Rs3367,1
Rs7327,1
WIV1,1